ID,DESCRIPTION,ARRIVALLATITUDE,ARRIVALLONGITUDE
65462371,COMERCIAL PRAIA E MAR LTDA,-3.6731382,-38.6699059
65493357,COMERCIAL PRAIA E MAR LTDA,-3.6730357,-38.6697621
65553614,COMERCIAL PRAIA E MAR LTDA,-3.6731817,-38.6699842
65609088,COMERCIAL PRAIA E MAR LTDA,-3.673208,-38.6699312
65745841,COMERCIAL PRAIA E MAR LTDA,-3.6731191,-38.6699581
65655325,COMERCIAL PRAIA E MAR LTDA,-3.6732181,-38.6699222
65680402,COMERCIAL PRAIA E MAR LTDA,-3.6737358,-38.6697029
65841334,COMERCIAL PRAIA E MAR LTDA,-3.6732222,-38.6699006
65977262,COMERCIAL PRAIA E MAR LTDA,-3.6730818,-38.6697975
65918564,COMERCIAL PRAIA E MAR LTDA,-3.6732287,-38.6699015
65949329,COMERCIAL PRAIA E MAR LTDA,-3.6732314,-38.6700113
66021285,COMERCIAL PRAIA E MAR LTDA,-3.673142,-38.6698679
66088451,COMERCIAL PRAIA E MAR LTDA,-3.6730763,-38.6700697
66052561,COMERCIAL PRAIA E MAR LTDA,-3.6732101,-38.6699125
66114714,COMERCIAL PRAIA E MAR LTDA,-3.6731435,-38.6699616
66164803,COMERCIAL PRAIA E MAR LTDA,-3.6732349,-38.6698527
66610427,COMERCIAL PRAIA E MAR LTDA,-3.6732957,-38.669783
66149798,COMERCIAL PRAIA E MAR LTDA,-3.6729892,-38.6697663
66453598,COMERCIAL PRAIA E MAR LTDA,-3.6737301,-38.6699099
66309964,COMERCIAL PRAIA E MAR LTDA,-3.6730899,-38.6699135
66271039,COMERCIAL PRAIA E MAR LTDA,-3.6732383,-38.6699131
66424591,COMERCIAL PRAIA E MAR LTDA,-3.6729739,-38.6697346
66359603,COMERCIAL PRAIA E MAR LTDA,-3.6733264,-38.669932
66571827,COMERCIAL PRAIA E MAR LTDA,-3.6736678,-38.6702525
66857356,COMERCIAL PRAIA E MAR LTDA,-3.6731468,-38.6699141
66811738,COMERCIAL PRAIA E MAR LTDA,-3.6727842,-38.6697657
66890990,COMERCIAL PRAIA E MAR LTDA,-3.6732081,-38.6699457
66925052,COMERCIAL PRAIA E MAR LTDA,-3.6730911,-38.6698691
67030674,COMERCIAL PRAIA E MAR LTDA,-3.6733925,-38.6699214
67078992,COMERCIAL PRAIA E MAR LTDA,-3.673201,-38.6699894
67138353,COMERCIAL PRAIA E MAR LTDA,-3.6731972,-38.6699282
